item,intervention,baseline,patched,delta,frac_of_baseline
ops_16+10,ablate_writes_tstar_L9-11,4.489053726196289,6.780246734619141,2.2911930084228516,0.5103955417268415
ops_16+10,ref_E4_necessity_Wwin_L5-11_Cswap,4.489053726196289,-2.5218048095703125,-7.010858535766602,-1.56176757138238
ops_16+10,necessity_resid_tstar_L0_Cswap,4.489053726196289,4.483165740966797,-0.0058879852294921875,-0.0013116317131898654
ops_16+10,necessity_resid_tstar_L1_Cswap,4.489053726196289,4.482637405395508,-0.00641632080078125,-0.00142932590967629
ops_16+10,necessity_resid_tstar_L2_Cswap,4.489053726196289,4.487665176391602,-0.0013885498046875,-0.00030931904347334695
ops_16+10,necessity_resid_tstar_L3_Cswap,4.489053726196289,4.487222671508789,-0.0018310546875,-0.0004078932441406773
ops_16+10,necessity_resid_tstar_L4_Cswap,4.489053726196289,4.491308212280273,0.002254486083984375,0.000502218556848209
ops_16+10,necessity_resid_tstar_L5_Cswap,4.489053726196289,4.028594970703125,-0.46045875549316406,-0.10257367890388888
ops_16+10,necessity_resid_tstar_L6_Cswap,4.489053726196289,3.2999277114868164,-1.1891260147094727,-0.2648945829652734
ops_16+10,necessity_resid_tstar_L7_Cswap,4.489053726196289,1.2632999420166016,-3.2257537841796875,-0.7185821290922634
ops_16+10,necessity_resid_tstar_L8_Cswap,4.489053726196289,0.9532566070556641,-3.535797119140625,-0.7876486526563835
ops_16+10,necessity_resid_tstar_L9_Cswap,4.489053726196289,-2.356480598449707,-6.845534324645996,-1.5249392727688347
ops_16+10,necessity_resid_tstar_L10_Cswap,4.489053726196289,-2.852005958557129,-7.341059684753418,-1.6353245321868135
ops_16+10,necessity_resid_tstar_L11_Cswap,4.489053726196289,-2.9754209518432617,-7.464474678039551,-1.662816961730691
ops_3+8,necessity_resid_tstar_L0-4_Cswap,2.5204219818115234,2.5154151916503906,-0.0050067901611328125,-0.00198648884879755
ops_3+8,necessity_resid_tstar_L5-8_Cswap,2.5204219818115234,-0.8948345184326172,-3.4152565002441406,-1.3550336113913217
ops_3+8,necessity_resid_tstar_L9-11_Cswap,2.5204219818115234,-2.8722286224365234,-5.392650604248047,-2.1395824362601945
ops_3+8,necessity_resid_tstar_L5-11_Cswap,2.5204219818115234,-2.8722286224365234,-5.392650604248047,-2.1395824362601945
ops_3+8,necessity_resid_tstar_L0-11_Cswap,2.5204219818115234,-2.8722286224365234,-5.392650604248047,-2.1395824362601945
ops_3+8,sufficiency_resid_tstar_L5-11_Wpatch,-2.8722286224365234,2.5204219818115234,5.392650604248047,-1.8775144019257906
ops_3+8,ablate_writes_tstar_L5-11,2.5204219818115234,1.4127378463745117,-1.1076841354370117,-0.43948360371023143
ops_3+8,ablate_writes_tstar_L9-11,2.5204219818115234,6.205118179321289,3.6846961975097656,1.4619362250052406
ops_3+8,ref_E4_necessity_Wwin_L5-11_Cswap,2.5204219818115234,-2.3783140182495117,-4.898736000061035,-1.943617392409872
ops_3+8,necessity_resid_tstar_L0_Cswap,2.5204219818115234,2.525205612182617,0.00478363037109375,0.0018979482029654305
ops_3+8,necessity_resid_tstar_L1_Cswap,2.5204219818115234,2.5156068801879883,-0.004815101623535156,-0.0019104347043007294
ops_3+8,necessity_resid_tstar_L2_Cswap,2.5204219818115234,2.513395309448242,-0.00702667236328125,-0.002787895207226733
ops_3+8,necessity_resid_tstar_L3_Cswap,2.5204219818115234,2.5033302307128906,-0.017091751098632812,-0.0067813053615523216
ops_3+8,necessity_resid_tstar_L4_Cswap,2.5204219818115234,2.5154151916503906,-0.0050067901611328125,-0.00198648884879755
ops_3+8,necessity_resid_tstar_L5_Cswap,2.5204219818115234,2.040133476257324,-0.4802885055541992,-0.19055876715096634
ops_3+8,necessity_resid_tstar_L6_Cswap,2.5204219818115234,1.581059455871582,-0.9393625259399414,-0.37270049726545623
ops_3+8,necessity_resid_tstar_L7_Cswap,2.5204219818115234,-0.5086517333984375,-3.029073715209961,-1.2018121318846973
